Region/Country/Area Code,Region/Country/Area,Year,Series,Value
419,Latin America & the Caribbean,2010,Forest cover (thousand hectares),"968,299"
419,Latin America & the Caribbean,2010,Arable land (% of total land area),7.1
419,Latin America & the Caribbean,2010,Permanent crops (% of total land area),1.2
419,Latin America & the Caribbean,2010,Forest cover (% of total land area),48.1
419,Latin America & the Caribbean,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.86
419,Latin America & the Caribbean,2018,Land area (thousand hectares),"2,013,717"
419,Latin America & the Caribbean,2018,Arable land (thousand hectares),"154,835"
419,Latin America & the Caribbean,2018,Permanent crops (thousand hectares),"24,052"
419,Latin America & the Caribbean,2018,Forest cover (thousand hectares),"945,064"
419,Latin America & the Caribbean,2018,Arable land (% of total land area),7.7
419,Latin America & the Caribbean,2018,Permanent crops (% of total land area),1.2
419,Latin America & the Caribbean,2018,Forest cover (% of total land area),46.9
419,Latin America & the Caribbean,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),38.51
419,Latin America & the Caribbean,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),38.76
29,Caribbean,2005,Land area (thousand hectares),"22,598"
29,Caribbean,2005,Arable land (thousand hectares),"5,680"
29,Caribbean,2005,Permanent crops (thousand hectares),"1,324"
29,Caribbean,2005,Forest cover (thousand hectares),"7,152"
29,Caribbean,2005,Arable land (% of total land area),25.1
29,Caribbean,2005,Permanent crops (% of total land area),5.9
29,Caribbean,2005,Forest cover (% of total land area),31.6
29,Caribbean,2010,Land area (thousand hectares),"22,598"
29,Caribbean,2010,Arable land (thousand hectares),"5,568"
29,Caribbean,2010,Permanent crops (thousand hectares),"1,298"
29,Caribbean,2010,Forest cover (thousand hectares),"7,496"
29,Caribbean,2010,Arable land (% of total land area),24.6
29,Caribbean,2010,Permanent crops (% of total land area),5.7
29,Caribbean,2010,Forest cover (% of total land area),33.2
29,Caribbean,2018,Land area (thousand hectares),"22,334"
29,Caribbean,2018,Arable land (thousand hectares),"5,130"
29,Caribbean,2018,Permanent crops (thousand hectares),"1,468"
29,Caribbean,2018,Forest cover (thousand hectares),"7,870"
29,Caribbean,2018,Arable land (% of total land area),23
29,Caribbean,2018,Permanent crops (% of total land area),6.6
29,Caribbean,2018,Forest cover (% of total land area),35.2
13,Central America,2005,Land area (thousand hectares),"245,227"
13,Central America,2005,Arable land (thousand hectares),"29,276"
13,Central America,2005,Permanent crops (thousand hectares),"4,837"
13,Central America,2005,Forest cover (thousand hectares),"92,425"
13,Central America,2005,Arable land (% of total land area),11.9
13,Central America,2005,Permanent crops (% of total land area),2
13,Central America,2005,Forest cover (% of total land area),37.7
13,Central America,2010,Land area (thousand hectares),"245,227"
13,Central America,2010,Arable land (thousand hectares),"26,806"
13,Central America,2010,Permanent crops (thousand hectares),"5,169"
13,Central America,2010,Forest cover (thousand hectares),"90,649"
13,Central America,2010,Arable land (% of total land area),10.9
13,Central America,2010,Permanent crops (% of total land area),2.1
13,Central America,2010,Forest cover (% of total land area),37
13,Central America,2018,Land area (thousand hectares),"245,211"
13,Central America,2018,Arable land (thousand hectares),"28,826"
13,Central America,2018,Permanent crops (thousand hectares),"5,526"
13,Central America,2018,Forest cover (thousand hectares),"88,638"
13,Central America,2018,Arable land (% of total land area),11.8
13,Central America,2018,Permanent crops (% of total land area),2.3
13,Central America,2018,Forest cover (% of total land area),36.1
5,South America,2005,Land area (thousand hectares),"1,746,165"
5,South America,2005,Arable land (thousand hectares),"101,727"
5,South America,2005,Permanent crops (thousand hectares),"17,705"
5,South America,2005,Forest cover (thousand hectares),"896,400"
5,South America,2005,Arable land (% of total land area),5.8
5,South America,2005,Permanent crops (% of total land area),1
5,South America,2005,Forest cover (% of total land area),51.3
5,South America,2010,Land area (thousand hectares),"1,746,168"
5,South America,2010,Arable land (thousand hectares),"111,083"
5,South America,2010,Permanent crops (thousand hectares),"17,077"
5,South America,2010,Forest cover (thousand hectares),"870,154"
5,South America,2010,Arable land (% of total land area),6.4
5,South America,2010,Permanent crops (% of total land area),1
5,South America,2010,Forest cover (% of total land area),49.8
5,South America,2018,Land area (thousand hectares),"1,746,172"
5,South America,2018,Arable land (thousand hectares),"120,880"
5,South America,2018,Permanent crops (thousand hectares),"17,058"
5,South America,2018,Forest cover (thousand hectares),"848,555"
5,South America,2018,Arable land (% of total land area),6.9
5,South America,2018,Permanent crops (% of total land area),1
5,South America,2018,Forest cover (% of total land area),48.6
142,Asia,2005,Land area (thousand hectares),"3,102,282"
142,Asia,2005,Arable land (thousand hectares),"500,997"
142,Asia,2005,Permanent crops (thousand hectares),"70,539"
142,Asia,2005,Forest cover (thousand hectares),"599,185"
142,Asia,2005,Arable land (% of total land area),16.1
142,Asia,2005,Permanent crops (% of total land area),2.3
142,Asia,2005,Forest cover (% of total land area),19.3
142,Asia,2010,Land area (thousand hectares),"3,102,065"
142,Asia,2010,Arable land (thousand hectares),"494,680"
142,Asia,2010,Permanent crops (thousand hectares),"81,199"
142,Asia,2010,Forest cover (thousand hectares),"610,960"
142,Asia,2010,Arable land (% of total land area),15.9
142,Asia,2010,Permanent crops (% of total land area),2.6
142,Asia,2010,Forest cover (% of total land area),19.7
142,Asia,2018,Land area (thousand hectares),"3,110,302"
142,Asia,2018,Arable land (thousand hectares),"498,134"
142,Asia,2018,Permanent crops (thousand hectares),"90,585"
142,Asia,2018,Forest cover (thousand hectares),"620,160"
142,Asia,2018,Arable land (% of total land area),16
142,Asia,2018,Permanent crops (% of total land area),2.9
142,Asia,2018,Forest cover (% of total land area),19.9
143,Central Asia,2005,Land area (thousand hectares),"392,679"
143,Central Asia,2005,Arable land (thousand hectares),"37,010"
143,Central Asia,2005,Permanent crops (thousand hectares),714
143,Central Asia,2005,Forest cover (thousand hectares),"12,017"
143,Central Asia,2005,Arable land (% of total land area),9.4
143,Central Asia,2005,Permanent crops (% of total land area),0.2
143,Central Asia,2005,Forest cover (% of total land area),3.1
143,Central Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.58
143,Central Asia,2010,Land area (thousand hectares),"392,679"
143,Central Asia,2010,Arable land (thousand hectares),"36,819"
143,Central Asia,2010,Permanent crops (thousand hectares),743
143,Central Asia,2010,Forest cover (thousand hectares),"12,198"
143,Central Asia,2010,Arable land (% of total land area),9.4
143,Central Asia,2010,Permanent crops (% of total land area),0.2
143,Central Asia,2010,Forest cover (% of total land area),3.1
143,Central Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),13.42
143,Central Asia,2018,Land area (thousand hectares),"394,078"
143,Central Asia,2018,Arable land (thousand hectares),"37,743"
143,Central Asia,2018,Permanent crops (thousand hectares),818
143,Central Asia,2018,Forest cover (thousand hectares),"12,862"
143,Central Asia,2018,Arable land (% of total land area),9.6
143,Central Asia,2018,Permanent crops (% of total land area),0.2
143,Central Asia,2018,Forest cover (% of total land area),3.3
143,Central Asia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),14.98
143,Central Asia,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),14.98
30,Eastern Asia,2005,Land area (thousand hectares),"1,156,002"
30,Eastern Asia,2005,Arable land (thousand hectares),"130,794"
30,Eastern Asia,2005,Permanent crops (thousand hectares),"13,296"
